scene_id,OID,lng,lat,date,image_path,filename,image_url
S0001,19523,106.519155,29.595616,202210,images/19523_106.519155_29.595616_202210.jpg,19523_106.519155_29.595616_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/19523_106.519155_29.595616_202210.jpg
S0002,36225,106.506468,29.535463,201711,images/36225_106.506468_29.535463_201711.jpg,36225_106.506468_29.535463_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/36225_106.506468_29.535463_201711.jpg
S0003,11592,106.561375,29.493302,201907,images/11592_106.561375_29.493302_201907.jpg,11592_106.561375_29.493302_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/11592_106.561375_29.493302_201907.jpg
S0004,16274,106.557158,29.529334,201711,images/16274_106.557158_29.529334_201711.jpg,16274_106.557158_29.529334_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/16274_106.557158_29.529334_201711.jpg
S0005,51960,106.547323,29.619012,201907,images/51960_106.547323_29.619012_201907.jpg,51960_106.547323_29.619012_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/51960_106.547323_29.619012_201907.jpg
S0006,2195,106.509329,29.505776,201906,images/2195_106.509329_29.505776_201906.jpg,2195_106.509329_29.505776_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/2195_106.509329_29.505776_201906.jpg
S0007,17416,106.468447,29.506558,201907,images/17416_106.468447_29.506558_201907.jpg,17416_106.468447_29.506558_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/17416_106.468447_29.506558_201907.jpg
S0008,41233,106.473981,29.478897,201907,images/41233_106.473981_29.478897_201907.jpg,41233_106.473981_29.478897_201907.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/41233_106.473981_29.478897_201907.jpg
S0009,38873,106.484792,29.483803,202210,images/38873_106.484792_29.483803_202210.jpg,38873_106.484792_29.483803_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/38873_106.484792_29.483803_202210.jpg
S0010,15804,106.526192,29.570476,202210,images/15804_106.526192_29.570476_202210.jpg,15804_106.526192_29.570476_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/15804_106.526192_29.570476_202210.jpg
